# t=2.00
# x u
0.0250000000 2.9303362290763826e-02
0.0750000000 2.9361928394085329e-02
0.1250000000 2.9479045938729697e-02
0.1750000000 2.9654685454458318e-02
0.2250000000 2.9888802371004476e-02
0.2750000000 3.0181336582125420e-02
0.3250000000 3.0532211867569849e-02
0.3750000000 3.0941335175717781e-02
0.4250000000 3.1408595770323261e-02
0.4750000000 3.1933864245453095e-02
0.5250000000 3.2516991413365046e-02
0.5750000000 3.3157807070704065e-02
0.6250000000 3.3856118649014118e-02
0.6750000000 3.4611709756162290e-02
0.7250000000 3.5424338615851141e-02
0.7750000000 3.6293736412950604e-02
0.8250000000 3.7219605552911934e-02
0.8750000000 3.8201617844029749e-02
0.9250000000 3.9239412611793888e-02
0.9750000000 4.0332594755016452e-02
1.0250000000 4.1480732753831961e-02
1.0750000000 4.2683356640045536e-02
1.1250000000 4.3939955940645717e-02
1.1750000000 4.5249977605602051e-02
1.2250000000 4.6612823931332301e-02
1.2750000000 4.8027850491447407e-02
1.3250000000 4.9494364086563998e-02
1.3750000000 5.1011620725112089e-02
1.4250000000 5.2578823647159045e-02
1.4750000000 5.4195121403318031e-02
1.5250000000 5.5859606000810372e-02
1.5750000000 5.7571311128704360e-02
1.6250000000 5.9329210474258015e-02
1.6750000000 6.1132216142150281e-02
1.7250000000 6.2979177188192029e-02
1.7750000000 6.4868878278866893e-02
1.8250000000 6.6800038487760921e-02
1.8750000000 6.8771310239600675e-02
1.9250000000 7.0781278412229948e-02
1.9750000000 7.2828459606420370e-02
2.0250000000 7.4911301592926402e-02
2.0750000000 7.7028182945666407e-02
2.1250000000 7.9177412869336342e-02
2.1750000000 8.1357231229144747e-02
2.2250000000 8.3565808789697965e-02
2.2750000000 8.5801247669364228e-02
2.3250000000 8.8061582015707768e-02
2.3750000000 9.0344778906810419e-02
2.4250000000 9.2648739482492276e-02
2.4750000000 9.4971300308605608e-02
2.5250000000 9.7310234976712109e-02
2.5750000000 9.9663255940564827e-02
2.6250000000 1.0202801658990682e-01
2.6750000000 1.0440211356117027e-01
2.7250000000 1.0678308928371939e-01
2.7750000000 1.0916843475932726e-01
2.8250000000 1.1155559257162009e-01
2.8750000000 1.1394196012126009e-01
2.9250000000 1.1632489308168011e-01
2.9750000000 1.1870170906922903e-01
3.0250000000 1.2106969152064384e-01
3.0750000000 1.2342609376983485e-01
3.1250000000 1.2576814331505951e-01
3.1750000000 1.2809304626667245e-01
3.2250000000 1.3039799196477778e-01
3.2750000000 1.3268015775527980e-01
3.3250000000 1.3493671391203316e-01
3.3750000000 1.3716482869203750e-01
3.4250000000 1.3936167350990963e-01
3.4750000000 1.4152442821719990e-01
3.5250000000 1.4365028647150335e-01
3.5750000000 1.4573646117975686e-01
3.6250000000 1.4778018999960546e-01
3.6750000000 1.4977874088227977e-01
3.7250000000 1.5172941764004194e-01
3.7750000000 1.5362956552094120e-01
3.8250000000 1.5547657677337190e-01
3.8750000000 1.5726789618274403e-01
3.9250000000 1.5900102656246842e-01
3.9750000000 1.6067353418141950e-01
4.0250000000 1.6228305411007482e-01
4.0750000000 1.6382729546763744e-01
4.1250000000 1.6530404655263012e-01
4.1750000000 1.6671117983970551e-01
4.2250000000 1.6804665682574421e-01
4.2750000000 1.6930853270871249e-01
4.3250000000 1.7049496088322424e-01
4.3750000000 1.7160419723728898e-01
4.4250000000 1.7263460423533789e-01
4.4750000000 1.7358465477328910e-01
4.5250000000 1.7445293579215143e-01
4.5750000000 1.7523815163745593e-01
4.6250000000 1.7593912715265703e-01
4.6750000000 1.7655481049554658e-01
4.7250000000 1.7708427566767435e-01
4.7750000000 1.7752672474776560e-01
4.8250000000 1.7788148982116037e-01
4.8750000000 1.7814803459837236e-01
4.9250000000 1.7832595571696641e-01
4.9750000000 1.7841498372208212e-01
5.0250000000 1.7841498372208209e-01
5.0750000000 1.7832595571696636e-01
5.1250000000 1.7814803459837231e-01
5.1750000000 1.7788148982116031e-01
5.2250000000 1.7752672474776554e-01
5.2750000000 1.7708427566767432e-01
5.3250000000 1.7655481049554653e-01
5.3750000000 1.7593912715265700e-01
5.4250000000 1.7523815163745587e-01
5.4750000000 1.7445293579215143e-01
5.5250000000 1.7358465477328910e-01
5.5750000000 1.7263460423533786e-01
5.6250000000 1.7160419723728892e-01
5.6750000000 1.7049496088322413e-01
5.7250000000 1.6930853270871238e-01
5.7750000000 1.6804665682574416e-01
5.8250000000 1.6671117983970546e-01
5.8750000000 1.6530404655263004e-01
5.9250000000 1.6382729546763736e-01
5.9750000000 1.6228305411007476e-01
6.0250000000 1.6067353418141944e-01
6.0750000000 1.5900102656246831e-01
6.1250000000 1.5726789618274392e-01
6.1750000000 1.5547657677337173e-01
6.2250000000 1.5362956552094104e-01
6.2750000000 1.5172941764004177e-01
6.3250000000 1.4977874088227966e-01
6.3750000000 1.4778018999960529e-01
6.4250000000 1.4573646117975669e-01
6.4750000000 1.4365028647150319e-01
6.5250000000 1.4152442821719974e-01
6.5750000000 1.3936167350990952e-01
6.6250000000 1.3716482869203730e-01
6.6750000000 1.3493671391203296e-01
6.7250000000 1.3268015775527958e-01
6.7750000000 1.3039799196477758e-01
6.8250000000 1.2809304626667223e-01
6.8750000000 1.2576814331505934e-01
6.9250000000 1.2342609376983468e-01
6.9750000000 1.2106969152064369e-01
7.0250000000 1.1870170906922888e-01
7.0750000000 1.1632489308167998e-01
7.1250000000 1.1394196012125997e-01
7.1750000000 1.1155559257161998e-01
7.2250000000 1.0916843475932717e-01
7.2750000000 1.0678308928371931e-01
7.3250000000 1.0440211356117021e-01
7.3750000000 1.0202801658990676e-01
7.4250000000 9.9663255940564785e-02
7.4750000000 9.7310234976712082e-02
7.5250000000 9.4971300308605594e-02
7.5750000000 9.2648739482492221e-02
7.6250000000 9.0344778906810363e-02
7.6750000000 8.8061582015707712e-02
7.7250000000 8.5801247669364200e-02
7.7750000000 8.3565808789697937e-02
7.8250000000 8.1357231229144719e-02
7.8750000000 7.9177412869336355e-02
7.9250000000 7.7028182945666435e-02
7.9750000000 7.4911301592926416e-02
8.0250000000 7.2828459606420370e-02
8.0750000000 7.0781278412229975e-02
8.1250000000 6.8771310239600703e-02
8.1750000000 6.6800038487760921e-02
8.2250000000 6.4868878278866865e-02
8.2750000000 6.2979177188192043e-02
8.3250000000 6.1132216142150295e-02
8.3750000000 5.9329210474258022e-02
8.4250000000 5.7571311128704380e-02
8.4750000000 5.5859606000810400e-02
8.5250000000 5.4195121403318058e-02
8.5750000000 5.2578823647159087e-02
8.6250000000 5.1011620725112124e-02
8.6750000000 4.9494364086564033e-02
8.7250000000 4.8027850491447463e-02
8.7750000000 4.6612823931332356e-02
8.8250000000 4.5249977605602107e-02
8.8750000000 4.3939955940645772e-02
8.9250000000 4.2683356640045592e-02
8.9750000000 4.1480732753832003e-02
9.0250000000 4.0332594755016486e-02
9.0750000000 3.9239412611793922e-02
9.1250000000 3.8201617844029791e-02
9.1750000000 3.7219605552911983e-02
9.2250000000 3.6293736412950667e-02
9.2750000000 3.5424338615851203e-02
9.3250000000 3.4611709756162359e-02
9.3750000000 3.3856118649014194e-02
9.4250000000 3.3157807070704155e-02
9.4750000000 3.2516991413365136e-02
9.5250000000 3.1933864245453192e-02
9.5750000000 3.1408595770323358e-02
9.6250000000 3.0941335175717885e-02
9.6750000000 3.0532211867569953e-02
9.7250000000 3.0181336582125524e-02
9.7750000000 2.9888802371004587e-02
9.8250000000 2.9654685454458433e-02
9.8750000000 2.9479045938729811e-02
9.9250000000 2.9361928394085440e-02
9.9750000000 2.9303362290763937e-02
